=== Game Metadata ===
Players      : Ding, Liren vs Gukesh D
Result       : 1-0
ECO / Opening: A13 | English Opening: Agincourt Defense (None)
Time Control : 40/7200:1800+30  Speed=classical
Event/Site   : 2024 FIDE Chess World Championship @ ?

=== Aggregate Metrics ===
Total moves     : 39
Total plies     : 77
Captures/Checks : 9 / 1
Promotions/Mates: 0 / 0
Think White (tot/avg/max): 6985.00 / 179.10256410256412 / 1050.0
Think Black (tot/avg/max): 7009.00 / 184.44736842105263 / 1581.0
Both castled ply : 18
Both queens off ply: None

=== Move Features (all) ===
PLY | SD | FM  | SAN        | KIND        | CAP | CHK | EMT     | CLOCK     | EVAL    | DIST | PROM | NAGS     | NSYM  
----+----+-----+------------+-------------+-----+-----+---------+-----------+---------+------+------+----------+-------
001 | w  | 01  | c4         | NORMAL      | 0   | 0   | 7.00    | 7193.0    | +0.12   | 2    | -    |          |       
002 | b  | 01  | e6         | NORMAL      | 0   | 0   | 7.00    | 7193.0    | +0.25   | 1    | -    |          |       
003 | w  | 02  | g3         | NORMAL      | 0   | 0   | 186.00  | 7007.0    | +0.14   | 1    | -    |          |       
004 | b  | 02  | d5         | NORMAL      | 0   | 0   | 8.00    | 7185.0    | +0.17   | 2    | -    |          |       
005 | w  | 03  | Bg2        | NORMAL      | 0   | 0   | 3.00    | 7004.0    | +0.15   | 1    | -    |          |       
006 | b  | 03  | Nf6        | NORMAL      | 0   | 0   | 67.00   | 7118.0    | +0.14   | 3    | -    |          |       
007 | w  | 04  | Nf3        | NORMAL      | 0   | 0   | 5.00    | 6999.0    | +0.12   | 3    | -    |          |       
008 | b  | 04  | d4         | NORMAL      | 0   | 0   | 5.00    | 7113.0    | +0.21   | 1    | -    |          |       
009 | w  | 05  | O-O        | CASTLE_KING | 0   | 0   | 35.00   | 6964.0    | +0.12   | 2    | -    |          |       
010 | b  | 05  | Nc6        | NORMAL      | 0   | 0   | 7.00    | 7106.0    | +0.24   | 3    | -    |          |       
011 | w  | 06  | e3         | NORMAL      | 0   | 0   | 160.00  | 6804.0    | +0.11   | 1    | -    |          |       
012 | b  | 06  | Be7        | NORMAL      | 0   | 0   | 45.00   | 7061.0    | +0.28   | 1    | -    |          |       
013 | w  | 07  | d3         | NORMAL      | 0   | 0   | 468.00  | 6336.0    | +0.19   | 1    | -    |          |       
014 | b  | 07  | dxe3       | CAPTURE     | 1   | 0   | 39.00   | 7022.0    | +0.20   | 1    | -    |          |       
015 | w  | 08  | Bxe3       | CAPTURE     | 1   | 0   | 263.00  | 6073.0    | +0.24   | 2    | -    |          |       
016 | b  | 08  | e5         | NORMAL      | 0   | 0   | 10.00   | 7012.0    | +0.26   | 1    | -    |          |       
017 | w  | 09  | Nc3        | NORMAL      | 0   | 0   | 716.00  | 5357.0    | +0.35   | 3    | -    |          |       
018 | b  | 09  | O-O        | CASTLE_KING | 0   | 0   | 9.00    | 7003.0    | +0.27   | 2    | -    |          |       
019 | w  | 10  | Re1        | NORMAL      | 0   | 0   | 341.00  | 5016.0    | +0.27   | 1    | -    |          |       
020 | b  | 10  | h6         | NORMAL      | 0   | 0   | 934.00  | 6069.0    | +0.28   | 1    | -    |          |       
021 | w  | 11  | a3         | NORMAL      | 0   | 0   | 1050.00 | 3966.0    | +0.25   | 1    | -    |          |       
022 | b  | 11  | a5         | NORMAL      | 0   | 0   | 104.00  | 5965.0    | +0.34   | 2    | -    |          |       
023 | w  | 12  | h3         | NORMAL      | 0   | 0   | 429.00  | 3537.0    | +0.33   | 1    | -    |          |       
024 | b  | 12  | Be6        | NORMAL      | 0   | 0   | 308.00  | 5657.0    | +0.27   | 2    | -    |          |       
025 | w  | 13  | Kh2        | NORMAL      | 0   | 0   | 72.00   | 3465.0    | +0.34   | 1    | -    |          |       
026 | b  | 13  | Rb8        | NORMAL      | 0   | 0   | 910.00  | 4747.0    | +0.60   | 1    | -    | 6        | ?!    
027 | w  | 14  | Qc2        | NORMAL      | 0   | 0   | 170.00  | 3295.0    | +0.41   | 1    | -    |          |       
028 | b  | 14  | Re8        | NORMAL      | 0   | 0   | 719.00  | 4028.0    | +0.41   | 1    | -    |          |       
029 | w  | 15  | Nb5        | NORMAL      | 0   | 0   | 85.00   | 3210.0    | +0.40   | 3    | -    |          |       
